"species","genus","reg"
"Andrena fucata","Andrena",117
"Andrena mitis","Andrena",117
"Bombus veteranus","Bombus",114
"Colletes succinctus","Colletes",113
"Stelis punctulatissima","Stelis",111
"Colletes fodiens","Colletes",111
"Panurgus banksianus","Panurgus",109
"Bombus pomorum","Bombus",108
NULL,"Dasypoda",107
"Sphecodes miniatus","Sphecodes",106
"Andrena nitidiuscula","Andrena",106
"Hylaeus gredleri","Hylaeus",105
"Andrena denticulata","Andrena",104
"Coelioxys conoidea","Coelioxys",104
"Sphecodes crassus","Sphecodes",103
"Lasioglossum lativentre","Lasioglossum",103
NULL,"Coelioxys",102
"Lasioglossum nitidiusculum","Lasioglossum",101
"Lasioglossum xanthopus","Lasioglossum",101
"Osmia brevicornis","Osmia",100
"Epeolus cruciger","Epeolus",98
"Melecta luctuosa","Melecta",96
"Sphecodes ferruginatus","Sphecodes",96
"Megachile maritima","Megachile",96
"Nomioides minutissimus","Nomioides",96
"Epeoloides coecutiens","Epeoloides",95
"Andrena pandellei","Andrena",92
"Andrena albicans","Andrena",92
"Lasioglossum sexstrigatum","Lasioglossum",92
"Lasioglossum nitidulum","Lasioglossum",92
"Andrena strohmella","Andrena",92
"Lasioglossum leucopus","Lasioglossum",90
"Nomada striata","Nomada",90
"Bombus ruderatus","Bombus",89
"Hylaeus sinuatus","Hylaeus",89
"Hylaeus angustatus","Hylaeus",88
"Nomada rufipes","Nomada",88
"Coelioxys aurolimbata","Coelioxys",85
"Nomada signata","Nomada",83
"Andrena marginata","Andrena",83
"Nomada sexfasciata","Nomada",83
"Hylaeus styriacus","Hylaeus",81
"Lasioglossum smeathmanellum","Lasioglossum",81
"Sphecodes puncticeps","Sphecodes",80
"Osmia rufohirta","Osmia",79
"Sphecodes geoffrellus","Sphecodes",78
"Coelioxys inermis","Coelioxys",78
"Bombus wurflenii","Bombus",77
"Nomada leucophthalma","Nomada",75
"Andrena tscheki","Andrena",75
NULL,"Chelostoma",75
"Nomada roberjeotiana","Nomada",74
"Nomada ferruginata","Nomada",74
"Hylaeus punctulatissimus","Hylaeus",73
"Halictus langobardicus","Halictus",73
"Lasioglossum laevigatum","Lasioglossum",72
"Hoplitis anthocopoides","Hoplitis",72
"Lasioglossum glabriusculum","Lasioglossum",72
"Hylaeus clypearis","Hylaeus",71
"Megachile circumcincta","Megachile",71
"Andrena semilaevis","Andrena",70
"Hylaeus gibbus","Hylaeus",70
NULL,"Ceratina",70
"Hylaeus dilatatus","Hylaeus",68
"Hylaeus difformis","Hylaeus",67
"Lasioglossum punctatissimum","Lasioglossum",67
"Tetralonia malvae","Tetralonia",66
NULL,"Anthidium",66
"Megachile alpicola","Megachile",65
"Andrena falsifica","Andrena",65
"Lasioglossum parvulum","Lasioglossum",65
"Chelostoma distinctum","Chelostoma",64
"Andrena fulvago","Andrena",63
"Andrena alfkenella","Andrena",63
"Andrena varians","Andrena",63
"Sphecodes reticulatus","Sphecodes",63
"Coelioxys mandibularis","Coelioxys",63
"Andrena floricola","Andrena",62
"Stelis breviuscula","Stelis",62
"Andrena argentata","Andrena",61
NULL,"Macropis",60
"Bombus norvegicus","Bombus",60
"Andrena bimaculata","Andrena",59
"Lasioglossum majus","Lasioglossum",59
"Lasioglossum interruptum","Lasioglossum",58
"Panurgus dentipes","Panurgus",58
"Osmia gallarum","Osmia",58
"Systropha planidens","Systropha",57
"Bombus cryptarum","Bombus",57
"Lasioglossum marginatum","Lasioglossum",57
"Hylaeus pectoralis","Hylaeus",57
"Megachile nigriventris","Megachile",56
"Lasioglossum lucidulum","Lasioglossum",56
"Andrena lapponica","Andrena",56
"Hylaeus annularis","Hylaeus",56
"Anthophora retusa","Anthophora",55
"Hylaeus leptocephalus","Hylaeus",55
NULL,"Panurgus",54
"Nomada fuscicornis","Nomada",54
"Stelis ornatula","Stelis",54
"Andrena ruficrus","Andrena",53
"Andrena fulvata","Andrena",53
"Andrena polita","Andrena",53
"Sphecodes rufiventris","Sphecodes",52
"Andrena nana","Andrena",52
"Osmia niveata","Osmia",52
NULL,"Eucera",51
"Sphecodes longulus","Sphecodes",51
"Andrena suerinensis","Andrena",50
"Lasioglossum limbellum","Lasioglossum",50
"Ammobates punctatus","Ammobates",50
"Hoplitis papaveris","Hoplitis",49
"Bombus jonellus","Bombus",49
"Halictus leucaheneus","Halictus",48
"Andrena combinata","Andrena",48
"Andrena angustior","Andrena",48
"Sphecodes niger","Sphecodes",48
"Andrena fulvida","Andrena",48
"Andrena pusilla","Andrena",48
NULL,"Melecta",48
"Lasioglossum rufitarse","Lasioglossum",47
"Osmia parietina","Osmia",47
"Colletes marginatus","Colletes",47
"Andrena apicata","Andrena",47
"Halictus compressus","Halictus",47
"Tetraloniella salicariae","Tetraloniella",47
"Hylaeus pictipes","Hylaeus",47
"Hylaeus cornutus","Hylaeus",47
"Lasioglossum minutulum","Lasioglossum",46
"Lasioglossum quadrinotatulum","Lasioglossum",46
"Hoplitis tridentata","Hoplitis",46
"Sphecodes hyalinatus","Sphecodes",45
"Lasioglossum lineare","Lasioglossum",45
"Hoplitis ravouxi","Hoplitis",45
"Andrena nycthemera","Andrena",45
"Melitta tricincta","Melitta",44
"Thyreus orbatus","Thyreus",44
"Lasioglossum semilucens","Lasioglossum",44
"Andrena decipiens","Andrena",44
"Pseudoanthidium scapulare","Pseudoanthidium",43
"Sphecodes spinulosus","Sphecodes",43
"Dufourea dentiventris","Dufourea",43
"Bombus distinguendus","Bombus",42
"Megachile leachella","Megachile",42
"Nomada conjungens","Nomada",42
"Coelioxys elongata","Coelioxys",42
"Andrena potentillae","Andrena",42
"Lasioglossum pallens","Lasioglossum",42
"Stelis signata","Stelis",41
"Coelioxys quadridentata","Coelioxys",41
"Hylaeus paulus","Hylaeus",41
"Bombus confusus","Bombus",40
"Lasioglossum minutissimum","Lasioglossum",40
"Megachile ligniseca","Megachile",40
"Coelioxys conica","Coelioxys",40
"Andrena coitana","Andrena",39
"Nomada zonata","Nomada",39
"Hoplitis claviventris","Hoplitis",39
"Nomada minuscula","Nomada",38
"Andrena intermedia","Andrena",37
"Lasioglossum subfasciatum","Lasioglossum",36
"Andrena congruens","Andrena",36
"Lasioglossum intermedium","Lasioglossum",36
"Coelioxys rufescens","Coelioxys",35
"Nomada distinguenda","Nomada",35
"Lasioglossum pygmaeum","Lasioglossum",35
"Rophites algirus","Rophites",35
"Lasioglossum fratellum","Lasioglossum",34
"Nomada armata","Nomada",34
"Coelioxys echinata","Coelioxys",34
"Bombus semenoviellus","Bombus",34
"Lasioglossum tricinctum","Lasioglossum",33
"Prosopis nigritula","Prosopis",33
"Megachile lagopoda","Megachile",33
"Nomada stigma","Nomada",33
"Anthophora pubescens","Anthophora",32
"Nomada integra","Nomada",32
"Eucera malvae","Eucera",32
"Rophites quinquespinosus","Rophites",31
"Andrena schencki","Andrena",31
"Hylaeus punctatus","Hylaeus",31
"Apis henshawi","Apis",30
"Andrena nasuta","Andrena",29
"Lasioglossum nigripes","Lasioglossum",29
"Nomada furva","Nomada",29
"Tetraloniella dentata","Tetraloniella",29
"Sphecodes marginatus","Sphecodes",29
"Stelis phaeoptera","Stelis",28
